epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,182.807,1.27349,2.49591,0.00244,0.78752,0.75,0.91167,0.66989,1.27439,2.33105,0.00522,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,184.761,1.31572,2.47403,0.0025,0.78752,0.75,0.91167,0.66989,1.27439,2.33105,0.00522,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,186.742,1.06651,2.45885,0.00188,0.82303,0.75,0.91167,0.66484,1.29102,2.29065,0.00533,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,188.747,1.36966,2.38769,0.00237,0.82303,0.75,0.91167,0.66484,1.29102,2.29065,0.00533,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,190.725,1.0817,2.52723,0.00214,0.83256,0.75,0.91167,0.6628,1.31363,2.27252,0.00547,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,192.609,1.29728,3.94034,0.00257,0.83256,0.75,0.91167,0.6628,1.31363,2.27252,0.00547,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,194.594,1.13312,3.54618,0.00283,0.802,0.75,0.91167,0.6686,1.31031,2.25442,0.00548,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,196.501,1.01469,3.65143,0.00238,0.802,0.75,0.91167,0.6686,1.31031,2.25442,0.00548,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,198.462,1.28765,3.70478,0.00352,0.65216,0.93093,0.91167,0.66825,1.30779,2.24793,0.00549,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,200.319,1.18935,3.34062,0.00288,0.65216,0.93093,0.91167,0.66825,1.30779,2.24793,0.00549,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,202.322,1.11393,3.41624,0.0023,0.67747,0.92613,0.91167,0.66563,1.29398,2.25037,0.00543,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,204.221,1.28195,3.47516,0.00302,0.67747,0.92613,0.91167,0.66563,1.29398,2.25037,0.00543,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,206.188,1.07337,3.62979,0.00295,0.70169,0.92904,0.91167,0.67104,1.27485,2.25904,0.00534,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,208.042,1.2725,3.42754,0.0024,0.70169,0.92904,0.91167,0.67104,1.27485,2.25904,0.00534,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,210.019,1.40455,3.53649,0.00345,0.70989,0.93564,0.91167,0.65646,1.26942,2.27412,0.00531,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
